Date,STOXX,BTC,LIBOR,SP500
28-7-2014,341.339996,580.11,0.0907,1921.84
29-7-2014,342.269989,585.44875,0.0911,1922.03
30-7-2014,340.440002,580.5175,0.091,1923.57
31-7-2014,335.98999,564.57,0.0865,1923.67
4-8-2014,331.149994,585.80125,0.0905,1924.24
5-8-2014,332.100006,582.33375,0.0899,1924.97
6-8-2014,329.190002,582.52125,0.0899,1925.15
7-8-2014,326.959991,583.62375,0.0895,1926.82
8-8-2014,324.910004,595.80875,0.0895,1927.11
11-8-2014,329.359985,588.7525,0.0902,1927.88
12-8-2014,328.73999,566.31625,0.0901,1928.21
13-8-2014,330.019989,565.55125,0.0903,1929.8
14-8-2014,331.040009,534.54,0.0911,1930.11
15-8-2014,329.72000099999997,511.4725,0.0915,1930.67
18-8-2014,333.600006,489.4675,0.0914,1931.34
19-8-2014,335.48999,455.91625,0.0919,1931.59
20-8-2014,335.299988,472.91,0.0911,1932.23
21-8-2014,337.51001,519.015,0.092,1932.24
22-8-2014,336.75,508.12875,0.0919,1933.75
25-8-2014,340.459991,503.32125,NaN,1935.1
26-8-2014,342.959991,504.62625,0.092,1936.16
27-8-2014,343.329987,513.39125,0.092,1936.92
28-8-2014,341.049988,514.62375,0.0915,1937.78
29-8-2014,342.0,506.025,0.0895,1938.68
2-9-2014,342.75,477.98375,0.0905,1938.76
3-9-2014,344.97000099999997,476.88375,0.0905,1938.99
4-9-2014,348.890015,475.65,0.091,1939.38
5-9-2014,347.570007,485.65125,0.091,1940.24
8-9-2014,346.089996,473.58625,0.091,1940.46
9-9-2014,344.869995,468.5775,0.0905,1940.51
10-9-2014,344.700012,474.29125,0.0909,1941.28
11-9-2014,344.269989,479.4175,0.0906,1941.99
12-9-2014,344.269989,473.6725,0.091,1942.04
15-9-2014,343.910004,475.02125,0.091,1942.74
16-9-2014,342.839996,471.08375,0.091,1943.09
17-9-2014,344.390015,464.55375,0.091,1943.89
18-9-2014,347.77999900000003,449.95875,0.0907,1945.5
19-9-2014,348.519989,425.4475,0.0912,1946.16
22-9-2014,346.690002,399.0975,0.0903,1946.17
23-9-2014,341.890015,399.5025,0.0909,1946.72
24-9-2014,344.350006,427.8125,0.0908,1948.05
25-9-2014,341.440002,416.12,0.0908,1948.86
26-9-2014,342.299988,410.15,0.0905,1949.44
29-9-2014,340.98999,377.97875,0.0905,1949.98
30-9-2014,343.079987,376.08375,0.0808,1950.79
1-10-2014,340.22000099999997,387.94,0.0908,1950.82
2-10-2014,332.049988,381.7475,0.0895,1951.13
3-10-2014,335.190002,372.0575,0.0899,1951.27
6-10-2014,336.0,308.07875,0.0905,1951.36
7-10-2014,330.850006,337.23375,0.0902,1951.7
8-10-2014,328.0,326.2325,0.09,1952.29
9-10-2014,326.670013,351.34625,0.0904,1953.03
10-10-2014,321.619995,368.59625,0.0905,1955.06
13-10-2014,321.559998,371.15625,NaN,1955.18
14-10-2014,321.52999900000003,392.7825,0.091,1956.98
15-10-2014,311.359985,396.34625,0.092,1957.22
16-10-2014,310.02999900000003,392.56625,0.0913,1958.03
17-10-2014,318.679993,376.26875,0.091,1958.12
20-10-2014,317.01001,381.72375,0.0915,1959.48
21-10-2014,323.73999,380.0575,0.091,1959.53
22-10-2014,326.109985,382.93875,0.0915,1960.23
23-10-2014,328.26001,376.59,0.0905,1960.96
24-10-2014,327.170013,351.7825,0.0905,1961.05
27-10-2014,325.100006,350.9775,0.09,1961.63
28-10-2014,328.25,349.79625,0.0905,1962.61
29-10-2014,328.77999900000003,348.9025,0.0915,1962.87
30-10-2014,330.709991,335.53625,0.0911,1963.71
31-10-2014,336.799988,343.55875,0.088,1964.58
3-11-2014,334.25,331.60083,0.0925,1964.68
4-11-2014,330.880005,324.71833,0.0925,1964.82
5-11-2014,336.359985,332.45666,0.0925,1965.99
6-11-2014,337.079987,336.585,0.0935,1966.97
7-11-2014,335.25,346.775,0.094,1967.57
10-11-2014,337.709991,358.50166,0.094,1967.9
11-11-2014,338.929993,368.07666,NaN,1968.89
12-11-2014,335.089996,376.99666,0.0945,1969.41
13-11-2014,335.859985,442.10666,0.0939,1969.95
14-11-2014,335.630005,389.00333,0.094,1970.07
17-11-2014,337.25,400.47166,0.0945,1970.89
18-11-2014,339.299988,384.93,0.0964,1971.74
19-11-2014,339.149994,375.83333,0.0985,1972.18
20-11-2014,338.27999900000003,376.16,0.0994,1972.29
21-11-2014,345.23999,348.565,0.1015,1972.74
24-11-2014,345.72000099999997,367.83,0.1015,1972.83
25-11-2014,346.27999900000003,381.20666,0.1025,1973.28
26-11-2014,346.27999900000003,375.49800000000005,0.102,1973.32
28-11-2014,347.25,368.983,0.0977,1973.63
1-12-2014,345.640015,376.13218,0.1017,1974.62
2-12-2014,347.369995,377.86199999999997,0.1067,1977.1
3-12-2014,349.339996,382.452,0.1095,1977.65
4-12-2014,344.839996,376.38199999999995,0.111,1977.8
5-12-2014,350.97000099999997,368.3618,0.111,1978.09
8-12-2014,348.609985,373.155,0.111,1978.22
9-12-2014,340.480011,357.884,0.11,1978.34
10-12-2014,339.320007,348.898,0.112,1978.35
11-12-2014,339.309998,341.041,0.1125,1978.91
12-12-2014,330.540009,348.272,0.1104,1979.26
15-12-2014,323.290009,348.67400000000004,0.1105,1979.92
16-12-2014,328.880005,338.54699999999997,0.11,1981.57
17-12-2014,329.339996,330.536,0.1108,1981.6
18-12-2014,339.049988,317.405,0.1117,1982.3
19-12-2014,340.299988,306.45999,0.114,1982.77
22-12-2014,341.97000099999997,320.03499,0.1142,1982.85
23-12-2014,344.059998,328.70099999999996,0.1141,1983.53
30-12-2014,341.019989,313.994,0.1146,1985.54
5-1-2015,333.98999,270.813,0.1164,1987.01
6-1-2015,331.609985,272.0175,0.1187,1987.05
7-1-2015,333.200012,283.84125,0.1189,1987.66
8-1-2015,342.350006,290.485,0.1191,1987.98
9-1-2015,337.929993,281.03625,0.1191,1988.4
12-1-2015,339.869995,268.10199,0.1165,1988.44
13-1-2015,344.769989,243.081,0.1167,1988.87
14-1-2015,339.670013,219.128,0.1196,1989.26
15-1-2015,348.450012,193.3511,0.1201,1989.57
16-1-2015,352.399994,220.5745,0.1201,1989.63
20-1-2015,355.959991,211.5401,0.1208,1990.2
21-1-2015,358.119995,212.28249,0.1214,1990.26
22-1-2015,364.049988,230.6754,0.1214,1992.37
23-1-2015,370.369995,226.30418999999998,0.1199,1992.67
26-1-2015,372.390015,283.59769,0.1199,1993.4
27-1-2015,368.700012,258.5374,0.1196,1994.24
28-1-2015,369.079987,257.447,0.1177,1994.29
29-1-2015,368.76001,235.94799999999998,0.1194,1994.65
30-1-2015,367.049988,233.141,0.115,1994.99
2-2-2015,367.27999900000003,229.80441000000002,0.116,1995.31
3-2-2015,370.27999900000003,237.65175,0.1175,1995.69
4-2-2015,372.100006,225.83857999999998,0.118,1995.83
5-2-2015,372.51001,226.554,0.118,1996.74
6-2-2015,373.309998,219.75625,0.1175,1997.45
9-2-2015,370.549988,222.78408,0.117,1997.65
10-2-2015,372.940002,220.16725,0.116,1997.92
11-2-2015,372.040009,223.00366,0.118,1998.3
12-2-2015,374.829987,218.72832999999997,0.1195,1998.98
13-2-2015,377.070007,223.96716,0.1175,1999.99
17-2-2015,377.019989,235.71275,0.1175,2000.02
18-2-2015,380.369995,242.93183,0.118,2000.12
19-2-2015,381.410004,237.1035,0.1185,2000.54
20-2-2015,382.269989,241.07182999999998,0.1205,2000.72
23-2-2015,385.079987,235.14141,0.119,2001.54
24-2-2015,387.25,238.93183,0.119,2001.57
25-2-2015,386.76001,238.15225,0.118,2001.76
26-2-2015,390.690002,235.67716000000001,0.118,2002.16
27-2-2015,392.209991,251.28907999999998,0.116,2002.28
2-3-2015,391.290009,258.8485,0.1192,2002.33
3-3-2015,387.679993,270.7625,0.1215,2002.61
4-3-2015,390.609985,278.1172,0.1215,2003.37
5-3-2015,393.77999900000003,269.2606,0.1215,2003.69
6-3-2015,394.179993,274.8977,0.1215,2005.55
9-3-2015,393.190002,277.98519,0.1215,2007.71
10-3-2015,389.660004,294.1886,0.122,2010.4
11-3-2015,395.480011,289.7149,0.122,2011.27
12-3-2015,395.359985,292.8678,0.1225,2011.36
13-3-2015,396.609985,293.224,0.123,2012.1
16-3-2015,400.179993,290.61579,0.123,2012.37
17-3-2015,397.329987,290.54200000000003,0.1225,2012.66
18-3-2015,398.649994,283.7507,0.122,2012.89
19-3-2015,400.829987,252.44789,0.122,2013.43
20-3-2015,404.01001,263.4741,0.122,2014.89
23-3-2015,401.23999,267.5549,0.1225,2015.93
24-3-2015,402.48999,265.27299999999997,0.122,2016.71
25-3-2015,397.950012,246.6733,0.1215,2017.46
26-3-2015,394.540009,245.6489,0.121,2017.81
27-3-2015,395.540009,246.5497,0.121,2018.05
30-3-2015,399.839996,245.1133,0.12,2018.94
31-3-2015,397.299988,247.2639,0.114,2019.42
1-4-2015,398.519989,243.3028,0.1225,2019.64
2-4-2015,397.799988,246.96,0.1215,2020.58
7-4-2015,404.339996,252.0909,0.122,2021.15
8-4-2015,404.660004,252.8629,0.121,2021.25
9-4-2015,409.149994,244.0449,0.121,2021.94
10-4-2015,412.929993,240.9478,0.122,2022.19
13-4-2015,413.630005,235.52200000000002,0.122,2022.55
14-4-2015,411.700012,222.6009,0.122,2023.03
15-4-2015,414.059998,220.9126,0.122,2023.04
16-4-2015,410.929993,226.0171,0.122,2023.57
17-4-2015,403.690002,227.9255,0.122,2023.86
20-4-2015,406.869995,223.9214,0.122,2025.9
21-4-2015,409.119995,224.9815,0.1225,2026.14
22-4-2015,408.98999,235.50368999999998,0.122,2027.22
23-4-2015,407.179993,234.15749,0.1225,2028.26
24-4-2015,408.420013,233.40079,0.1225,2029.55
27-4-2015,412.420013,219.19029,0.1225,2030.77
28-4-2015,406.27999900000003,227.3867,0.123,2031.21
29-4-2015,397.299988,225.3545,0.123,2031.92
30-4-2015,395.790009,225.9976,0.12,2032.12
4-5-2015,396.820007,240.3646,NaN,2033.66
5-5-2015,391.01001,235.6033,0.123,2035.33
6-5-2015,388.679993,235.6017,0.123,2035.73
7-5-2015,388.980011,230.4207,0.123,2035.94
8-5-2015,400.160004,237.05900000000003,0.123,2036.09
11-5-2015,401.339996,239.4036,0.123,2036.71
12-5-2015,396.089996,240.00079,0.123,2037.05
13-5-2015,395.459991,241.3529,0.123,2037.41
15-5-2015,396.450012,237.5737,0.124,2038.26
