Date,BTC
20-8-2014,472.91
21-8-2014,519.015
22-8-2014,508.12875
23-8-2014,507.51
24-8-2014,501.63125
25-8-2014,503.32125
26-8-2014,504.62625
27-8-2014,513.39125
28-8-2014,514.62375
29-8-2014,506.025
30-8-2014,504.70625
31-8-2014,502.055
1-9-2014,474.5425
2-9-2014,477.98375
3-9-2014,476.88375
4-9-2014,475.65
5-9-2014,485.65125
6-9-2014,480.9075
7-9-2014,481.88375
8-9-2014,473.58625
9-9-2014,468.5775
10-9-2014,474.29125
11-9-2014,479.4175
12-9-2014,473.6725
13-9-2014,471.5325
14-9-2014,475.37875
15-9-2014,475.02125
16-9-2014,471.08375
17-9-2014,464.55375
18-9-2014,449.95875
19-9-2014,425.4475
20-9-2014,410.08
21-9-2014,405.79625
22-9-2014,399.0975
23-9-2014,399.5025
24-9-2014,427.8125
25-9-2014,416.12
26-9-2014,410.15
27-9-2014,403.4975
28-9-2014,398.84
29-9-2014,377.97875
30-9-2014,376.08375
1-10-2014,387.94
2-10-2014,381.7475
3-10-2014,372.0575
4-10-2014,360.7525
5-10-2014,335.98125
6-10-2014,308.07875
7-10-2014,337.23375
8-10-2014,326.2325
9-10-2014,351.34625
10-10-2014,368.59625
11-10-2014,359.2025
12-10-2014,356.99875
13-10-2014,371.15625
14-10-2014,392.7825
15-10-2014,396.34625
16-10-2014,392.56625
17-10-2014,376.26875
18-10-2014,378.675
19-10-2014,390.95875
20-10-2014,381.72375
21-10-2014,380.0575
22-10-2014,382.93875
23-10-2014,376.59
24-10-2014,351.7825
25-10-2014,353.6325
26-10-2014,345.1925
27-10-2014,350.9775
28-10-2014,349.79625
29-10-2014,348.9025
30-10-2014,335.53625
31-10-2014,343.55875
1-11-2014,338.0105
2-11-2014,325.22633
3-11-2014,331.60083
4-11-2014,324.71833
5-11-2014,332.45666
6-11-2014,336.585
7-11-2014,346.775
8-11-2014,344.81166
9-11-2014,343.065
10-11-2014,358.50166
11-11-2014,368.07666
12-11-2014,376.99666
13-11-2014,442.10666
14-11-2014,389.00333
15-11-2014,394.92666
16-11-2014,377.08
17-11-2014,400.47166
18-11-2014,384.93
19-11-2014,375.83333
20-11-2014,376.16
21-11-2014,348.565
22-11-2014,352.42
23-11-2014,356.8
24-11-2014,367.83
25-11-2014,381.20666
26-11-2014,375.498
27-11-2014,372.819
28-11-2014,368.983
29-11-2014,375.44
30-11-2014,376.851
1-12-2014,376.13218
2-12-2014,377.862
3-12-2014,382.452
4-12-2014,376.382
5-12-2014,368.3618
6-12-2014,373.414
7-12-2014,373.744
8-12-2014,373.155
9-12-2014,357.884
10-12-2014,348.898
11-12-2014,341.041
12-12-2014,348.272
13-12-2014,346.742
14-12-2014,347.348
15-12-2014,348.674
16-12-2014,338.547
17-12-2014,330.536
18-12-2014,317.405
19-12-2014,306.45999
20-12-2014,319.196
21-12-2014,321.89299
22-12-2014,320.03499
23-12-2014,328.701
24-12-2014,332.053
25-12-2014,321.386
26-12-2014,318.563
27-12-2014,320.868
28-12-2014,316.009
29-12-2014,315.64
30-12-2014,313.994
31-12-2014,309.903
1-1-2015,317.204
2-1-2015,314.49899
3-1-2015,311.14099
4-1-2015,277.853
5-1-2015,270.813
6-1-2015,272.0175
7-1-2015,283.84125
8-1-2015,290.485
9-1-2015,281.03625
10-1-2015,286.688
11-1-2015,277.64999
12-1-2015,268.10199
13-1-2015,243.081
14-1-2015,219.128
15-1-2015,193.3511
16-1-2015,220.5745
17-1-2015,209.1655
18-1-2015,195.59467
19-1-2015,212.2711
20-1-2015,211.5401
21-1-2015,212.28249
22-1-2015,230.6754
23-1-2015,226.30419
24-1-2015,231.4242
25-1-2015,251.606
26-1-2015,283.59769
27-1-2015,258.5374
28-1-2015,257.447
29-1-2015,235.948
30-1-2015,233.141
31-1-2015,226.94116
1-2-2015,216.66066
2-2-2015,229.80441
3-2-2015,237.65175
4-2-2015,225.83858
5-2-2015,226.554
6-2-2015,219.75625
7-2-2015,225.46666
8-2-2015,225.73291
9-2-2015,222.78408
10-2-2015,220.16725
11-2-2015,223.00366
12-2-2015,218.72833
13-2-2015,223.96716
14-2-2015,237.65716
15-2-2015,256.21758
16-2-2015,230.1355
17-2-2015,235.71275
18-2-2015,242.93183
19-2-2015,237.1035
20-2-2015,241.07183
21-2-2015,245.70566
22-2-2015,245.145
23-2-2015,235.14141
24-2-2015,238.93183
25-2-2015,238.15225
26-2-2015,235.67716
27-2-2015,251.28908
28-2-2015,251.03416
1-3-2015,251.9314
2-3-2015,258.8485
3-3-2015,270.7625
4-3-2015,278.1172
5-3-2015,269.2606
6-3-2015,274.8977
7-3-2015,270.86109
8-3-2015,276.72789
9-3-2015,277.98519
10-3-2015,294.1886
11-3-2015,289.7149
12-3-2015,292.8678
13-3-2015,293.224
14-3-2015,282.644
15-3-2015,283.0809
16-3-2015,290.61579
17-3-2015,290.542
18-3-2015,283.7507
19-3-2015,252.44789
20-3-2015,263.4741
21-3-2015,259.913
22-3-2015,259.3943
23-3-2015,267.5549
24-3-2015,265.273
25-3-2015,246.6733
26-3-2015,245.6489
27-3-2015,246.5497
28-3-2015,248.4467
29-3-2015,246.728
30-3-2015,245.1133
31-3-2015,247.2639
1-4-2015,243.3028
2-4-2015,246.96
3-4-2015,252.0578
4-4-2015,253.4334
5-4-2015,252.0256
6-4-2015,260.3589
7-4-2015,252.0909
8-4-2015,252.8629
9-4-2015,244.0449
10-4-2015,240.9478
11-4-2015,236.4388
12-4-2015,236.5542
13-4-2015,235.522
14-4-2015,222.6009
15-4-2015,220.9126
16-4-2015,226.0171
17-4-2015,227.9255
18-4-2015,223.317
19-4-2015,223.4062
20-4-2015,223.9214
21-4-2015,224.9815
22-4-2015,235.50369
23-4-2015,234.15749
24-4-2015,233.40079
25-4-2015,228.92379
26-4-2015,219.94549
27-4-2015,219.19029
28-4-2015,227.3867
29-4-2015,225.3545
30-4-2015,225.9976
1-5-2015,236.6827
2-5-2015,233.8511
3-5-2015,236.2378
4-5-2015,240.3646
5-5-2015,235.6033
6-5-2015,235.6017
7-5-2015,230.4207
8-5-2015,237.059
9-5-2015,244.6989
10-5-2015,241.516
11-5-2015,239.4036
12-5-2015,240.00079
13-5-2015,241.3529
14-5-2015,235.5478
15-5-2015,237.5737
16-5-2015,236.657
17-5-2015,236.339
18-5-2015,236.2319
19-5-2015,233.3119
20-5-2015,232.7193
21-5-2015,234.204
22-5-2015,235.86329
23-5-2015,240.1588
24-5-2015,239.7985
25-5-2015,240.9415
26-5-2015,237.6588
27-5-2015,237.1844
28-5-2015,237.6708
29-5-2015,237.2277
30-5-2015,236.1404
31-5-2015,233.3328
1-6-2015,230.8331
2-6-2015,223.415
3-6-2015,226.6168
4-6-2015,225.444
5-6-2015,223.9665
6-6-2015,224.2525
7-6-2015,225.8403
8-6-2015,223.69459
9-6-2015,228.1884
10-6-2015,229.2025
11-6-2015,229.9599
12-6-2015,229.9082
13-6-2015,230.6695
14-6-2015,233.1445
15-6-2015,234.7473
16-6-2015,237.39899
17-6-2015,248.7435
18-6-2015,247.2359
19-6-2015,249.0733
20-6-2015,240.7897
21-6-2015,244.15625
22-6-2015,244.9588
23-6-2015,247.1273
24-6-2015,243.371
25-6-2015,240.9204
26-6-2015,242.31912
27-6-2015,242.28812
28-6-2015,250.382
29-6-2015,249.42725
30-6-2015,258.38549
1-7-2015,261.71749
2-7-2015,259.62937
3-7-2015,255.52675
4-7-2015,253.87887
5-7-2015,261.42899
6-7-2015,267.60762
