Date,LIBOR
16-7-2015,0.128
17-7-2015,0.128
20-7-2015,0.1275
21-7-2015,0.1275
22-7-2015,0.1285
23-7-2015,0.1265
24-7-2015,0.1265
27-7-2015,0.126
28-7-2015,0.126
29-7-2015,0.126
30-7-2015,0.1265
31-7-2015,0.1214
3-8-2015,0.1265
4-8-2015,0.1265
5-8-2015,0.1265
6-8-2015,0.126
7-8-2015,0.126
10-8-2015,0.1265
11-8-2015,0.1275
12-8-2015,0.128
13-8-2015,0.1285
14-8-2015,0.1305
17-8-2015,0.1325
18-8-2015,0.1325
19-8-2015,0.133
20-8-2015,0.133
21-8-2015,0.133
24-8-2015,0.133
25-8-2015,0.1325
26-8-2015,0.133
27-8-2015,0.1335
28-8-2015,0.1335
31-8-2015,.
1-9-2015,0.132
2-9-2015,0.133
3-9-2015,0.1355
4-9-2015,0.1355
7-9-2015,.
8-9-2015,0.1355
9-9-2015,0.135
10-9-2015,0.1345
11-9-2015,0.1355
14-9-2015,0.136
15-9-2015,0.1365
16-9-2015,0.1365
17-9-2015,0.1375
18-9-2015,0.1375
21-9-2015,0.1355
22-9-2015,0.1355
23-9-2015,0.136
24-9-2015,0.136
25-9-2015,0.1345
28-9-2015,0.1345
29-9-2015,0.1335
30-9-2015,0.1162
1-10-2015,0.1325
2-10-2015,0.1325
5-10-2015,0.1325
6-10-2015,0.132
7-10-2015,0.1315
8-10-2015,0.131
9-10-2015,0.132
12-10-2015,.
13-10-2015,0.132
14-10-2015,0.132
15-10-2015,0.1325
16-10-2015,0.132
19-10-2015,0.1315
20-10-2015,0.132
21-10-2015,0.132
22-10-2015,0.132
23-10-2015,0.1315
26-10-2015,0.1315
27-10-2015,0.1315
28-10-2015,0.132
29-10-2015,0.132
30-10-2015,0.1248
2-11-2015,0.131
3-11-2015,0.131
4-11-2015,0.131
5-11-2015,0.131
6-11-2015,0.131
9-11-2015,0.131
10-11-2015,0.131
11-11-2015,.
12-11-2015,0.1305
13-11-2015,0.131
16-11-2015,0.131
17-11-2015,0.131
18-11-2015,0.131
19-11-2015,0.13
20-11-2015,0.131
23-11-2015,0.1305
24-11-2015,0.1305
25-11-2015,0.1305
26-11-2015,.
27-11-2015,0.1305
30-11-2015,0.128
1-12-2015,0.1305
2-12-2015,0.1305
3-12-2015,0.1305
4-12-2015,0.1305
7-12-2015,0.13
8-12-2015,0.1295
9-12-2015,0.1295
10-12-2015,0.1315
11-12-2015,0.1335
14-12-2015,0.135
15-12-2015,0.1355
16-12-2015,0.1518
17-12-2015,0.3614
18-12-2015,0.3658
21-12-2015,0.3672
22-12-2015,0.3674
23-12-2015,0.3673
24-12-2015,0.3671
25-12-2015,.
28-12-2015,.
29-12-2015,0.366
30-12-2015,0.3661
31-12-2015,0.2745
1-1-2016,.
4-1-2016,0.3658
5-1-2016,0.365
6-1-2016,0.3661
7-1-2016,0.3651
8-1-2016,0.3662
11-1-2016,0.3661
12-1-2016,0.3661
13-1-2016,0.3663
14-1-2016,0.3661
15-1-2016,0.3661
18-1-2016,.
19-1-2016,0.366
20-1-2016,0.3655
21-1-2016,0.3658
22-1-2016,0.3659
25-1-2016,0.366
26-1-2016,0.3657
27-1-2016,0.3659
28-1-2016,0.3684
29-1-2016,0.3674
1-2-2016,0.366
2-2-2016,0.369
3-2-2016,0.3686
4-2-2016,0.3704
5-2-2016,0.37
8-2-2016,0.3763
9-2-2016,0.3771
10-2-2016,0.3731
11-2-2016,0.3715
12-2-2016,0.3708
15-2-2016,.
16-2-2016,0.371
17-2-2016,0.37
18-2-2016,0.3714
19-2-2016,0.3709
22-2-2016,0.371
23-2-2016,0.371
24-2-2016,0.3715
25-2-2016,0.3743
26-2-2016,0.3745
29-2-2016,0.3715
1-3-2016,0.3679
2-3-2016,0.3715
3-3-2016,0.373
4-3-2016,0.372
7-3-2016,0.372
8-3-2016,0.372
9-3-2016,0.372
10-3-2016,0.3725
11-3-2016,0.3725
14-3-2016,0.3743
15-3-2016,0.3753
16-3-2016,0.3743
17-3-2016,0.3748
18-3-2016,0.3743
21-3-2016,0.3743
22-3-2016,0.3743
23-3-2016,0.3753
24-3-2016,0.3745
25-3-2016,.
28-3-2016,.
29-3-2016,0.3755
30-3-2016,0.3772
31-3-2016,0.3831
1-4-2016,0.3791
4-4-2016,0.3794
5-4-2016,0.3777
6-4-2016,0.3782
7-4-2016,0.3782
8-4-2016,0.3775
11-4-2016,0.3792
12-4-2016,0.3792
13-4-2016,0.3802
14-4-2016,0.3797
15-4-2016,0.3807
18-4-2016,0.3812
19-4-2016,0.3827
20-4-2016,0.3822
21-4-2016,0.3817
22-4-2016,0.3812
25-4-2016,0.3812
26-4-2016,0.3807
27-4-2016,0.3802
28-4-2016,0.3827
29-4-2016,0.3837
2-5-2016,.
3-5-2016,0.3857
4-5-2016,0.3858
5-5-2016,0.385
6-5-2016,0.385
9-5-2016,0.385
10-5-2016,0.3845
11-5-2016,0.385
12-5-2016,0.385
13-5-2016,0.3855
16-5-2016,0.3855
17-5-2016,0.386
18-5-2016,0.385
19-5-2016,0.384
20-5-2016,0.3845
23-5-2016,0.385
24-5-2016,0.385
25-5-2016,0.3861
26-5-2016,0.3861
27-5-2016,0.385
30-5-2016,.
31-5-2016,0.3865
1-6-2016,0.3855
2-6-2016,0.3855
3-6-2016,0.3861
6-6-2016,0.3861
7-6-2016,0.3865
8-6-2016,0.3876
9-6-2016,0.3856
10-6-2016,0.3861
13-6-2016,0.3855
14-6-2016,0.3855
15-6-2016,0.385
16-6-2016,0.3855
17-6-2016,0.3865
20-6-2016,0.3901
21-6-2016,0.3901
22-6-2016,0.3896
23-6-2016,0.3911
24-6-2016,0.3934
27-6-2016,0.4001
28-6-2016,0.4016
29-6-2016,0.4051
30-6-2016,0.4116
1-7-2016,0.4061
4-7-2016,.
5-7-2016,0.4096
6-7-2016,0.4112
7-7-2016,0.4127
8-7-2016,0.4122
11-7-2016,0.4137
12-7-2016,0.4122
13-7-2016,0.4127
14-7-2016,0.4122
15-7-2016,0.4152
18-7-2016,0.4159
19-7-2016,0.4159
20-7-2016,0.4174
21-7-2016,0.4179
22-7-2016,0.4179
25-7-2016,0.4179
26-7-2016,0.4179
27-7-2016,0.4164
28-7-2016,0.4159
29-7-2016,0.4129
1-8-2016,0.4144
2-8-2016,0.4179
3-8-2016,0.4174
4-8-2016,0.4179
5-8-2016,0.4189
8-8-2016,0.4189
9-8-2016,0.4188
10-8-2016,0.4197
11-8-2016,0.4202
12-8-2016,0.4191
15-8-2016,0.41889
16-8-2016,0.41778
17-8-2016,0.41722
18-8-2016,0.41722
19-8-2016,0.41556
22-8-2016,0.41667
23-8-2016,0.41778
24-8-2016,0.41833
25-8-2016,0.41989
26-8-2016,0.41833
29-8-2016,.
30-8-2016,0.41944
31-8-2016,0.41944
1-9-2016,0.41611
2-9-2016,0.42044
5-9-2016,.
6-9-2016,0.42044
7-9-2016,0.42156
8-9-2016,0.42211
9-9-2016,0.42156
12-9-2016,0.421
13-9-2016,0.421
14-9-2016,0.42211
15-9-2016,0.42156
16-9-2016,0.42044
19-9-2016,0.42156
20-9-2016,0.42211
21-9-2016,0.42211
22-9-2016,0.42322
23-9-2016,0.42322
26-9-2016,0.42433
27-9-2016,0.42544
28-9-2016,0.42063
29-9-2016,0.41989
30-9-2016,0.42378
3-10-2016,0.42267
4-10-2016,0.42433
5-10-2016,0.42822
6-10-2016,0.42878
7-10-2016,0.42656
10-10-2016,.
11-10-2016,0.42767
12-10-2016,0.42878
13-10-2016,0.431
14-10-2016,0.43044
17-10-2016,0.43322
18-10-2016,0.43322
19-10-2016,0.43378
20-10-2016,0.43322
21-10-2016,0.43322
24-10-2016,0.43211
25-10-2016,0.43433
26-10-2016,0.43433
27-10-2016,0.43489
28-10-2016,0.43544
31-10-2016,0.43344
1-11-2016,0.43456
2-11-2016,0.43733
3-11-2016,0.43678
4-11-2016,0.43511
7-11-2016,0.43456
8-11-2016,0.434
9-11-2016,0.43233
10-11-2016,0.43233
11-11-2016,.
14-11-2016,0.43344
15-11-2016,0.43289
16-11-2016,0.43289
17-11-2016,0.43456
18-11-2016,0.43367
21-11-2016,0.43367
22-11-2016,0.43367
23-11-2016,0.43422
24-11-2016,.
25-11-2016,0.43478
28-11-2016,0.43422
29-11-2016,0.43422
30-11-2016,0.43056
1-12-2016,0.43422
2-12-2016,0.43478
5-12-2016,0.43478
6-12-2016,0.43422
7-12-2016,0.43367
8-12-2016,0.43311
9-12-2016,0.43422
12-12-2016,0.437
13-12-2016,0.437
14-12-2016,0.43867
15-12-2016,0.67889
16-12-2016,0.68389
19-12-2016,0.68111
20-12-2016,0.68378
21-12-2016,0.686
22-12-2016,0.68656
23-12-2016,0.69378
26-12-2016,.
27-12-2016,.
28-12-2016,0.68656
29-12-2016,0.68822
30-12-2016,0.69211
2-1-2017,.
3-1-2017,0.69544
4-1-2017,0.69044
5-1-2017,0.69222
6-1-2017,0.691
9-1-2017,0.693
10-1-2017,0.69333
11-1-2017,0.69278
12-1-2017,0.69278
13-1-2017,0.69278
16-1-2017,.
17-1-2017,0.69
18-1-2017,0.68944
19-1-2017,0.69
20-1-2017,0.68833
23-1-2017,0.68889
24-1-2017,0.68833
25-1-2017,0.68833
26-1-2017,0.68722
27-1-2017,0.69
30-1-2017,0.69167
31-1-2017,0.69
1-2-2017,0.69111
2-2-2017,0.68833
3-2-2017,0.69278
6-2-2017,0.68833
7-2-2017,0.68778
8-2-2017,0.68667
9-2-2017,0.68667
10-2-2017,0.68778
13-2-2017,0.68722
14-2-2017,0.68722
15-2-2017,0.68556
16-2-2017,0.68611
17-2-2017,0.68611
20-2-2017,.
21-2-2017,0.68611
22-2-2017,0.68333
23-2-2017,0.68333
24-2-2017,0.68278
27-2-2017,0.68333
28-2-2017,0.68056
1-3-2017,0.68167
2-3-2017,0.68278
3-3-2017,0.68278
6-3-2017,0.68278
7-3-2017,0.68278
8-3-2017,0.68211
9-3-2017,0.68211
10-3-2017,0.68189
13-3-2017,0.68278
14-3-2017,0.68689
15-3-2017,0.68667
16-3-2017,0.92578
17-3-2017,0.92422
20-3-2017,0.92644
21-3-2017,0.92533
22-3-2017,0.92667
23-3-2017,0.92611
24-3-2017,0.92667
27-3-2017,0.92444
28-3-2017,0.925
29-3-2017,0.92556
30-3-2017,0.92667
31-3-2017,0.92167
3-4-2017,0.92722
4-4-2017,0.93
5-4-2017,0.93111
6-4-2017,0.93
7-4-2017,0.93056
10-4-2017,0.92722
11-4-2017,0.92722
12-4-2017,0.92778
13-4-2017,0.92611
14-4-2017,.
17-4-2017,.
18-4-2017,0.93
19-4-2017,0.93
20-4-2017,0.92944
21-4-2017,0.92944
24-4-2017,0.92667
25-4-2017,0.92833
26-4-2017,0.93028
27-4-2017,0.93056
28-4-2017,0.92944
1-5-2017,.
2-5-2017,0.92667
3-5-2017,0.92722
4-5-2017,0.92778
5-5-2017,0.92778
8-5-2017,0.92778
9-5-2017,0.92722
10-5-2017,0.92833
11-5-2017,0.92833
12-5-2017,0.92833
15-5-2017,0.92889
16-5-2017,0.92833
17-5-2017,0.92833
18-5-2017,0.92778
19-5-2017,0.92889
22-5-2017,0.92889
23-5-2017,0.93056
24-5-2017,0.93056
25-5-2017,0.93
26-5-2017,0.93
29-5-2017,.
30-5-2017,0.93111
31-5-2017,0.92889
1-6-2017,0.93111
2-6-2017,0.93111
5-6-2017,0.93111
6-6-2017,0.93056
7-6-2017,0.93111
8-6-2017,0.93056
9-6-2017,0.93111
12-6-2017,0.93111
13-6-2017,0.93111
14-6-2017,0.93111
15-6-2017,1.175
16-6-2017,1.17722
19-6-2017,1.17667
20-6-2017,1.17611
21-6-2017,1.17722
22-6-2017,1.17722
23-6-2017,1.17667
26-6-2017,1.17611
27-6-2017,1.17611
28-6-2017,1.17667
29-6-2017,1.17333
30-6-2017,1.16167
3-7-2017,1.17167
4-7-2017,.
5-7-2017,1.17389
6-7-2017,1.17389
7-7-2017,1.17389
10-7-2017,1.17444
11-7-2017,1.17722
12-7-2017,1.17833
13-7-2017,1.17833
14-7-2017,1.17722
17-7-2017,1.17778
18-7-2017,1.17722
19-7-2017,1.17889
20-7-2017,1.17889
21-7-2017,1.17889
24-7-2017,1.17889
25-7-2017,1.18
26-7-2017,1.17778
27-7-2017,1.17722
28-7-2017,1.17833
31-7-2017,1.17611
1-8-2017,1.17556
2-8-2017,1.17722
3-8-2017,1.17722
4-8-2017,1.17778
7-8-2017,1.17722
8-8-2017,1.17778
9-8-2017,1.17778
10-8-2017,1.17778
11-8-2017,1.17778
14-8-2017,1.17778
15-8-2017,1.17778
16-8-2017,1.17889
17-8-2017,1.17778
18-8-2017,1.17722
21-8-2017,1.17778
22-8-2017,1.17778
23-8-2017,1.17778
24-8-2017,1.17778
25-8-2017,1.17778
28-8-2017,.
29-8-2017,1.17833
30-8-2017,1.17778
31-8-2017,1.17556
1-9-2017,1.17722
4-9-2017,.
5-9-2017,1.17778
6-9-2017,1.17611
7-9-2017,1.17611
8-9-2017,1.17722
11-9-2017,1.17778
12-9-2017,1.17778
13-9-2017,1.17722
14-9-2017,1.17889
15-9-2017,1.17889
18-9-2017,1.17889
19-9-2017,1.17889
20-9-2017,1.17889
21-9-2017,1.17889
22-9-2017,1.17889
25-9-2017,1.17833
26-9-2017,1.17833
27-9-2017,1.18
28-9-2017,1.18111
29-9-2017,1.18167
2-10-2017,1.18
3-10-2017,1.18056
4-10-2017,1.18222
5-10-2017,1.18222
6-10-2017,1.18222
9-10-2017,.
10-10-2017,1.18167
11-10-2017,1.18333
12-10-2017,1.18444
13-10-2017,1.18444
16-10-2017,1.18444
17-10-2017,1.18444
18-10-2017,1.18444
19-10-2017,1.185
20-10-2017,1.18444
23-10-2017,1.18444
24-10-2017,1.18444
25-10-2017,1.18444
26-10-2017,1.18444
27-10-2017,1.18444
30-10-2017,1.185
31-10-2017,1.18222
1-11-2017,1.18222
2-11-2017,1.18389
3-11-2017,1.18444
6-11-2017,1.18389
7-11-2017,1.18389
8-11-2017,1.18333
9-11-2017,1.18333
10-11-2017,1.18333
13-11-2017,1.18278
14-11-2017,1.18278
15-11-2017,1.18278
16-11-2017,1.18278
17-11-2017,1.18278
20-11-2017,1.18278
21-11-2017,1.18278
22-11-2017,1.18278
23-11-2017,.
24-11-2017,1.18375
27-11-2017,1.18375
28-11-2017,1.185
29-11-2017,1.18625
