Date,STOXX
26-1-2015,372.390015
27-1-2015,368.700012
28-1-2015,369.079987
29-1-2015,368.76001
30-1-2015,367.049988
2-2-2015,367.279999
3-2-2015,370.279999
4-2-2015,372.100006
5-2-2015,372.51001
6-2-2015,373.309998
9-2-2015,370.549988
10-2-2015,372.940002
11-2-2015,372.040009
12-2-2015,374.829987
13-2-2015,377.070007
16-2-2015,376.549988
17-2-2015,377.019989
18-2-2015,380.369995
19-2-2015,381.410004
20-2-2015,382.269989
23-2-2015,385.079987
24-2-2015,387.25
25-2-2015,386.76001
26-2-2015,390.690002
27-2-2015,392.209991
2-3-2015,391.290009
3-3-2015,387.679993
4-3-2015,390.609985
5-3-2015,393.779999
6-3-2015,394.179993
9-3-2015,393.190002
10-3-2015,389.660004
11-3-2015,395.480011
12-3-2015,395.359985
13-3-2015,396.609985
16-3-2015,400.179993
17-3-2015,397.329987
18-3-2015,398.649994
19-3-2015,400.829987
20-3-2015,404.01001
23-3-2015,401.23999
24-3-2015,402.48999
25-3-2015,397.950012
26-3-2015,394.540009
27-3-2015,395.540009
30-3-2015,399.839996
31-3-2015,397.299988
1-4-2015,398.519989
2-4-2015,397.799988
7-4-2015,404.339996
8-4-2015,404.660004
9-4-2015,409.149994
10-4-2015,412.929993
13-4-2015,413.630005
14-4-2015,411.700012
15-4-2015,414.059998
16-4-2015,410.929993
17-4-2015,403.690002
20-4-2015,406.869995
21-4-2015,409.119995
22-4-2015,408.98999
23-4-2015,407.179993
24-4-2015,408.420013
27-4-2015,412.420013
28-4-2015,406.279999
29-4-2015,397.299988
30-4-2015,395.790009
4-5-2015,396.820007
5-5-2015,391.01001
6-5-2015,388.679993
7-5-2015,388.980011
8-5-2015,400.160004
11-5-2015,401.339996
12-5-2015,396.089996
13-5-2015,395.459991
15-5-2015,396.450012
18-5-2015,398.089996
19-5-2015,404.779999
20-5-2015,406.420013
21-5-2015,407.869995
22-5-2015,407.73999
26-5-2015,403.609985
27-5-2015,408.880005
28-5-2015,406.829987
29-5-2015,399.869995
1-6-2015,400.570007
2-6-2015,396.450012
3-6-2015,395.929993
4-6-2015,392.649994
5-6-2015,389
8-6-2015,385.390015
9-6-2015,383.869995
10-6-2015,390.779999
11-6-2015,393
12-6-2015,389.380005
15-6-2015,383.019989
16-6-2015,385.48999
17-6-2015,383.73999
18-6-2015,384.220001
19-6-2015,385.589996
22-6-2015,394.25
23-6-2015,398.829987
24-6-2015,397.320007
25-6-2015,396.390015
26-6-2015,396.850006
29-6-2015,386.170013
30-6-2015,381.309998
1-7-2015,387.070007
2-7-2015,385.459991
3-7-2015,383.420013
6-7-2015,378.679993
7-7-2015,372.73999
8-7-2015,372.880005
9-7-2015,381.059998
10-7-2015,388.799988
13-7-2015,396.459991
14-7-2015,398.299988
15-7-2015,400.029999
16-7-2015,405.429993
17-7-2015,405.679993
20-7-2015,406.799988
21-7-2015,402.660004
22-7-2015,400.279999
23-7-2015,398.100006
24-7-2015,394.640015
27-7-2015,385.910004
28-7-2015,390.019989
29-7-2015,394.01001
30-7-2015,396.23999
31-7-2015,396.369995
3-8-2015,399.440002
4-8-2015,398.75
5-8-2015,403.929993
6-8-2015,400.700012
7-8-2015,397.070007
10-8-2015,399.820007
11-8-2015,393.609985
12-8-2015,382.98999
13-8-2015,386.690002
14-8-2015,386.23999
17-8-2015,387.26001
18-8-2015,388.130005
19-8-2015,381.309998
20-8-2015,373.440002
21-8-2015,361.279999
24-8-2015,342.01001
25-8-2015,356.359985
26-8-2015,350.140015
27-8-2015,362.269989
28-8-2015,363.279999
31-8-2015,362.790009
1-9-2015,352.890015
2-9-2015,353.859985
3-9-2015,362.23999
4-9-2015,353.109985
7-9-2015,354.809998
8-9-2015,359
9-9-2015,363.769989
10-9-2015,359.339996
11-9-2015,355.720001
14-9-2015,353.630005
15-9-2015,356.429993
16-9-2015,361.869995
17-9-2015,361.209991
18-9-2015,354.769989
21-9-2015,357.829987
22-9-2015,346.670013
23-9-2015,346.970001
24-9-2015,339.630005
25-9-2015,349.279999
28-9-2015,341.570007
29-9-2015,339.230011
30-9-2015,347.769989
1-10-2015,346.230011
2-10-2015,347.859985
5-10-2015,358.329987
6-10-2015,360.410004
7-10-2015,360.929993
8-10-2015,361.609985
9-10-2015,362.820007
12-10-2015,361.790009
13-10-2015,358.470001
14-10-2015,355.809998
15-10-2015,360.98999
16-10-2015,363.130005
19-10-2015,364.25
20-10-2015,362.670013
21-10-2015,362.640015
22-10-2015,369.98999
23-10-2015,377.359985
26-10-2015,375.890015
27-10-2015,371.880005
28-10-2015,375.829987
29-10-2015,375.700012
30-10-2015,375.470001
2-11-2015,376.75
3-11-2015,378.359985
4-11-2015,380.279999
5-11-2015,378.76001
6-11-2015,379.950012
9-11-2015,375.880005
10-11-2015,376.269989
11-11-2015,378.709991
12-11-2015,372.559998
13-11-2015,369.529999
16-11-2015,370.640015
17-11-2015,379.880005
18-11-2015,379.329987
19-11-2015,380.959991
20-11-2015,381.790009
23-11-2015,380.369995
24-11-2015,375.640015
25-11-2015,380.839996
26-11-2015,384.369995
27-11-2015,383.670013
30-11-2015,385.429993
1-12-2015,384.23999
2-12-2015,384.170013
3-12-2015,372.109985
4-12-2015,370.589996
7-12-2015,372.480011
8-12-2015,365.75
9-12-2015,364.190002
10-12-2015,363.209991
11-12-2015,355.790009
14-12-2015,349.540009
15-12-2015,359.579987
16-12-2015,360.429993
17-12-2015,364.899994
18-12-2015,361.230011
21-12-2015,357.149994
22-12-2015,356.869995
23-12-2015,366.390015
28-12-2015,364.48999
29-12-2015,369.679993
30-12-2015,367.700012
4-1-2016,356.660004
5-1-2016,358.880005
6-1-2016,354.350006
7-1-2016,346.51001
8-1-2016,341.350006
11-1-2016,340.230011
12-1-2016,343.220001
13-1-2016,344.630005
14-1-2016,339.420013
15-1-2016,329.839996
18-1-2016,328.640015
19-1-2016,332.929993
20-1-2016,322.290009
21-1-2016,328.51001
22-1-2016,338.359985
25-1-2016,336.269989
26-1-2016,339.200012
27-1-2016,340.23999
28-1-2016,334.890015
29-1-2016,342.269989
1-2-2016,341.609985
2-2-2016,334.589996
3-2-2016,329.429993
4-2-2016,328.76001
5-2-2016,325.899994
8-2-2016,314.359985
9-2-2016,309.390015
