Date,FX
17-9-2015,1.129203
18-9-2015,1.140095
21-9-2015,1.129203
22-9-2015,1.119094
23-9-2015,1.112075
24-9-2015,1.118994
25-9-2015,1.117893
28-9-2015,1.120172
29-9-2015,1.123103
30-9-2015,1.125594
1-10-2015,1.117206
2-10-2015,1.119344
5-10-2015,1.1227
6-10-2015,1.11952
7-10-2015,1.126799
8-10-2015,1.124
9-10-2015,1.128694
12-10-2015,1.136997
13-10-2015,1.135551
14-10-2015,1.138498
15-10-2015,1.147552
16-10-2015,1.136816
19-10-2015,1.136105
20-10-2015,1.132901
21-10-2015,1.135396
22-10-2015,1.134803
23-10-2015,1.108095
26-10-2015,1.102038
27-10-2015,1.106599
28-10-2015,1.103704
29-10-2015,1.092896
30-10-2015,1.099384
2-11-2015,1.102597
3-11-2015,1.101601
4-11-2015,1.096395
5-11-2015,1.086803
6-11-2015,1.0884
9-11-2015,1.073341
10-11-2015,1.075951
11-11-2015,1.073756
12-11-2015,1.076299
13-11-2015,1.081502
16-11-2015,1.069999
17-11-2015,1.068799
18-11-2015,1.064385
19-11-2015,1.066997
20-11-2015,1.072616
23-11-2015,1.064101
24-11-2015,1.064203
25-11-2015,1.064385
26-11-2015,1.062496
27-11-2015,1.060445
30-11-2015,1.058302
1-12-2015,1.057295
2-12-2015,1.062586
3-12-2015,1.061301
4-12-2015,1.091596
7-12-2015,1.0884
8-12-2015,1.0834
9-12-2015,1.089396
10-12-2015,1.101795
11-12-2015,1.094811
14-12-2015,1.098394
15-12-2015,1.0993
16-12-2015,1.093625
17-12-2015,1.087453
18-12-2015,1.08441
21-12-2015,1.086992
22-12-2015,1.091298
23-12-2015,1.095002
24-12-2015,1.090917
25-12-2015,1.096996
28-12-2015,1.096599
29-12-2015,1.097526
30-12-2015,1.092801
31-12-2015,1.093398
1-1-2016,1.085906
4-1-2016,1.085399
5-1-2016,1.082755
6-1-2016,1.075199
7-1-2016,1.0779
8-1-2016,1.092598
11-1-2016,1.094104
12-1-2016,1.0858
13-1-2016,1.084399
14-1-2016,1.088601
15-1-2016,1.085894
18-1-2016,1.092001
19-1-2016,1.089503
20-1-2016,1.091298
21-1-2016,1.087701
22-1-2016,1.086201
25-1-2016,1.079902
26-1-2016,1.085305
27-1-2016,1.086496
28-1-2016,1.090798
29-1-2016,1.093697
1-2-2016,1.082591
2-2-2016,1.089728
3-2-2016,1.092204
4-2-2016,1.109102
5-2-2016,1.119996
8-2-2016,1.114504
9-2-2016,1.118981
10-2-2016,1.128999
11-2-2016,1.128095
12-2-2016,1.131798
15-2-2016,1.122599
16-2-2016,1.117406
17-2-2016,1.114703
18-2-2016,1.112298
19-2-2016,1.111099
22-2-2016,1.112397
23-2-2016,1.102803
24-2-2016,1.102706
25-2-2016,1.101394
26-2-2016,1.102499
29-2-2016,1.092395
1-3-2016,1.088898
2-3-2016,1.087595
3-3-2016,1.086897
4-3-2016,1.094895
7-3-2016,1.099396
8-3-2016,1.101601
9-3-2016,1.100401
10-3-2016,1.098901
11-3-2016,1.117843
14-3-2016,1.116794
15-3-2016,1.110198
16-3-2016,1.110901
17-3-2016,1.121894
18-3-2016,1.131798
21-3-2016,1.127904
22-3-2016,1.123595
23-3-2016,1.122297
24-3-2016,1.118105
25-3-2016,1.116794
28-3-2016,1.115997
29-3-2016,1.120272
30-3-2016,1.129203
31-3-2016,1.133466
1-4-2016,1.137967
4-4-2016,1.139004
5-4-2016,1.1389
6-4-2016,1.1382
7-4-2016,1.140498
8-4-2016,1.137398
11-4-2016,1.140303
12-4-2016,1.141292
13-4-2016,1.138498
14-4-2016,1.127904
15-4-2016,1.127002
18-4-2016,1.129995
19-4-2016,1.130902
20-4-2016,1.135963
21-4-2016,1.130506
22-4-2016,1.129203
25-4-2016,1.123406
26-4-2016,1.1269
27-4-2016,1.129905
28-4-2016,1.132901
29-4-2016,1.135589
2-5-2016,1.146303
3-5-2016,1.152499
4-5-2016,1.150404
5-5-2016,1.149306
6-5-2016,1.140602
9-5-2016,1.138797
10-5-2016,1.138797
11-5-2016,1.137436
12-5-2016,1.1427
13-5-2016,1.137695
16-5-2016,1.131695
17-5-2016,1.131606
18-5-2016,1.131606
19-5-2016,1.122297
20-5-2016,1.120599
23-5-2016,1.122171
24-5-2016,1.121604
25-5-2016,1.113797
26-5-2016,1.115897
27-5-2016,1.119207
30-5-2016,1.111
31-5-2016,1.11484
1-6-2016,1.113598
2-6-2016,1.118906
3-6-2016,1.1152
6-6-2016,1.1351
7-6-2016,1.136402
8-6-2016,1.135783
9-6-2016,1.140706
10-6-2016,1.131503
13-6-2016,1.124
14-6-2016,1.129102
15-6-2016,1.121302
16-6-2016,1.126266
